service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
master (Compute Engine),E2 Instance Core running in Sydney,240.0,australia-southeast1,6F81-5844-456A,9819-4AB8-1A87,7.42815,
master (Compute Engine),E2 Instance Ram running in Sydney,960.0,australia-southeast1,6F81-5844-456A,F9E1-E6EF-86F3,3.98169,
master (Compute Engine),Balanced PD Capacity in Sydney,50.0,australia-southeast1,6F81-5844-456A,B046-9075-75BA,6.75,
worker 1 (Compute Engine),Spot Preemptible E2 Instance Core running in Sydney,240.0,australia-southeast1,6F81-5844-456A,A485-4234-1419,2.6256,
worker 1 (Compute Engine),Spot Preemptible E2 Instance Ram running in Sydney,960.0,australia-southeast1,6F81-5844-456A,DF25-57C5-11E5,1.40832,
worker 1 (Compute Engine),Balanced PD Capacity in Sydney,50.0,australia-southeast1,6F81-5844-456A,B046-9075-75BA,6.75,
worker 2 (Compute Engine),Spot Preemptible E2 Instance Core running in Sydney,240.0,australia-southeast1,6F81-5844-456A,A485-4234-1419,2.6256,
worker 2 (Compute Engine),Spot Preemptible E2 Instance Ram running in Sydney,960.0,australia-southeast1,6F81-5844-456A,DF25-57C5-11E5,1.40832,
worker 2 (Compute Engine),Balanced PD Capacity in Sydney,50.0,australia-southeast1,6F81-5844-456A,B046-9075-75BA,6.75,
,,,,,,,
,,,,,Total Price:,39.72768,
,,,,,,,
"Prices are in US dollars, effective date is 2025-10-14T03:14:02.850Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJqWlRrelpXWm1NaTAxWVRRekxUUmtORE10WVRFMVlpMWpNemcxTldGak56TmtOelVRQVE9PRokQjdDNkM2MDUtQTVCRS00RjYyLThGNzgtOUExMTQ4OUEzNzFD,,,,,,